anger,disgust,fear,happiness,sadness,surprise,neutral,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,img_name,level
0.023527015,0.0059381584,0.12971175,0.18556745,0.066152886,0.008208863,0.5808939,0.74780035,0.44408718,0.21094522,0.5081936,0.19760008,0.0,0.16795613,0.2773842,1.0,0.14774802,0.42282006,0.6748853,0.33091316,1.0,0.7319629,0.09568426,0.9958774,0.59306264,0.26081264,0.2070842,./image/P15/P15_1661129720288.png,1
0.008264961,0.0036501195,0.06839872,0.23908804,0.0703146,0.0019848298,0.6082988,0.63747865,0.4567032,0.2646064,0.24746452,0.2914194,1.0,0.3214309,0.33814615,1.0,0.15228654,0.3901827,0.522439,0.3220832,1.0,0.62089616,0.054271214,0.99974316,0.6408172,0.070577934,0.69049686,./image/P15/P15_1659254238464.png,0
0.014748965,0.009032504,0.13124518,0.29927966,0.06922854,0.0069989795,0.4694662,0.7338569,0.355566,0.34447032,0.25112188,0.0780353,1.0,0.2880164,0.044034977,1.0,0.03694267,0.23533933,0.5701028,0.3081218,1.0,0.7446037,0.11044398,0.996015,0.5859336,0.09632737,0.514868,./image/P15/P15_1659094877627.png,0
0.017037151,0.005686559,0.14116631,0.16863665,0.08028783,0.005856264,0.5813293,0.68390757,0.43033168,0.32718343,0.2729523,0.08922703,0.0,0.4328012,0.040830683,0.0,0.04014642,0.243951,0.5385293,0.38506302,1.0,0.68058044,0.04974565,0.99846953,0.5819013,0.041487522,0.61429936,./image/P15/P15_1659939329831.png,0
0.01744136,0.0050000236,0.09477566,0.5741846,0.033862896,0.0047589387,0.26997647,0.6016451,0.55803984,0.19493896,0.24953292,0.7034472,1.0,0.44792625,0.711672,0.0,0.5001847,0.58055115,0.50542665,0.42998758,1.0,0.7290403,0.043017186,0.99901116,0.6189357,0.065132275,0.6273662,./image/P15/P15_1660454564137.png,1
0.0076073827,0.0060067917,0.10034306,0.3033513,0.030147295,0.0017676549,0.5507765,0.7111818,0.31338355,0.47751972,0.2404616,0.3236259,1.0,0.4227928,0.17480901,1.0,0.36133596,0.41140544,0.5626716,0.37094375,1.0,0.716095,0.04377813,0.9998745,0.6937305,0.092114516,0.9010614,./image/P15/P15_1659194441467.png,0
0.06361181,0.01549669,0.13463387,0.18734968,0.051726755,0.006618541,0.54056275,0.5760683,0.5431989,0.16952656,0.37485275,0.5399002,0.0,0.35029218,0.9004544,0.0,0.6223727,0.5492428,0.7072808,0.3532451,1.0,0.46485636,0.22985682,0.98800397,0.30416355,0.22125581,0.8681622,./image/P15/P15_1660053203275.png,0
0.050137844,0.0056483555,0.05551995,0.106279746,0.040810466,0.0022911548,0.7393125,0.5892498,0.5944849,0.3392127,0.39278695,0.39775687,0.0,0.32478812,0.11142532,0.0,0.36907524,0.48761463,0.3623443,0.37662405,1.0,0.38596377,0.18782592,0.9876867,0.30256298,0.2839955,0.56521046,./image/P15/P15_1659425809443.png,0
0.08024227,0.011697831,0.05601164,0.16959956,0.051484596,0.005223493,0.6257406,0.57519037,0.3913493,0.20125273,0.30887765,0.5770015,1.0,0.35307905,0.96505386,1.0,0.7562533,0.51705873,0.60684425,0.34218624,1.0,0.33564308,0.08377244,0.97188526,0.33958226,0.078451514,0.9082806,./image/P15/P15_1660555407028.png,1
0.017089523,0.0040778695,0.22664225,0.32634228,0.042615827,0.009060852,0.37417138,0.7216595,0.5137765,0.23592718,0.24095313,0.4415119,0.0,0.49614006,0.88826656,0.0,0.30975604,0.48083913,0.56367964,0.31558126,1.0,0.44081742,0.042661395,0.9986633,0.627918,0.23786573,0.5652898,./image/P15/P15_1661109283114.png,1
0.011798577,0.009691107,0.13611174,0.2493992,0.039517503,0.0023298175,0.55115205,0.61548954,0.41386932,0.25572076,0.2283182,0.39958572,0.0,0.3756614,0.24528298,1.0,0.4682921,0.6174238,0.27349353,0.32056135,1.0,0.67577547,0.059726167,0.9975484,0.61196154,0.23416357,0.57570547,./image/P15/P15_1661188721917.png,1
0.06050003,0.008423494,0.058461383,0.089437954,0.072541,0.0066734375,0.7039627,0.58440524,0.49183938,0.3473097,0.42277226,0.8289251,1.0,0.341087,0.47603008,0.0,0.721861,0.5868547,0.17703855,0.36019072,1.0,0.22759196,0.13215275,0.97728866,0.25962746,0.070675895,0.6335687,./image/P15/P15_1660853726808.png,1
0.006178479,0.008176265,0.10351533,0.26637307,0.04608797,0.0031501753,0.56651866,0.5555466,0.29549673,0.14404911,0.23547198,0.35885483,1.0,0.4464311,0.575257,1.0,0.42905137,0.40015677,0.47683915,0.33735552,1.0,0.6586016,0.0405266,0.999757,0.80762416,0.16984081,0.77664,./image/P15/P15_1660834926381.png,1
0.018898182,0.004360431,0.17358856,0.33567974,0.05104434,0.00693302,0.4094957,0.7307664,0.31263253,0.17291485,0.2507903,0.35728076,0.0,0.4223177,0.47648144,1.0,0.15583932,0.42524314,0.3765747,0.3581376,1.0,0.81032914,0.035676345,0.99984586,0.6489744,0.0857354,0.85982716,./image/P15/P15_1660378888649.png,1
0.020788165,0.0040865005,0.17431153,0.1721018,0.06605084,0.0054381755,0.55722296,0.6411686,0.44692573,0.19289804,0.27900633,0.16066629,0.0,0.45092392,0.0437988,1.0,0.10105357,0.20913082,0.5610813,0.38755,1.0,0.6190416,0.073218465,0.998601,0.67615473,0.15981139,0.7330281,./image/P15/P15_1658905701125.png,0
0.015312071,0.004453818,0.16753747,0.17721498,0.094949,0.0068664406,0.5336662,0.6705662,0.34523043,0.2302639,0.2688395,0.33721069,0.0,0.4538902,0.9477865,0.0,0.21552014,0.34106734,0.5537642,0.27814752,1.0,0.49528468,0.01317962,0.9991991,0.38536364,0.09865749,0.8011295,./image/P15/P15_1659005484755.png,0
0.021197002,0.009359157,0.23381267,0.46076685,0.036129624,0.011334506,0.22740018,0.7996195,0.5414257,0.15226564,0.3278016,0.19215219,1.0,0.32986677,0.34512016,1.0,0.1410694,0.23839782,0.55969596,0.36840957,1.0,0.6627276,0.055809986,0.98540896,0.58443594,0.19438447,0.54956204,./image/P15/P15_1660155213918.png,1
0.0050918907,0.011058634,0.072099105,0.391306,0.032629684,0.0013013422,0.48651335,0.54516166,0.38033134,0.20523433,0.27874035,0.4724365,1.0,0.38028377,0.95257276,0.0,0.3647962,0.64119667,0.47784978,0.33935317,1.0,0.6076772,0.06315468,0.99923456,0.5437603,0.06440945,0.35303706,./image/P15/P15_1661188718857.png,1
0.041328993,0.016008921,0.085092254,0.4275636,0.029268734,0.002849849,0.39788762,0.7425993,0.78849083,0.19602115,0.27728018,0.79734063,1.0,0.39754793,0.9171318,0.0,0.36419654,0.5801186,0.659238,0.28173,1.0,0.2695354,0.047032684,0.9995783,0.43073177,0.21611223,0.8577539,./image/P15/P15_1659610769834.png,0
0.013969324,0.0024917426,0.1566192,0.0972037,0.13619737,0.014874927,0.5786438,0.7012886,0.56169415,0.2136531,0.28500056,0.09064886,0.0,0.23762599,0.045970906,0.0,0.087886356,0.348015,0.25254092,0.34301844,0.0,0.7970241,0.09088275,0.99048716,0.57277954,0.099823065,0.5811982,./image/P15/P15_1658905708484.png,0
0.0841664,0.013552383,0.068365484,0.31631452,0.046801135,0.0063245133,0.46447557,0.7056156,0.79682386,0.13913395,0.38599622,0.65257627,1.0,0.2632851,0.8867811,1.0,0.53212124,0.460052,0.50909734,0.32660472,1.0,0.25107074,0.03570893,0.99741685,0.5710093,0.102941506,0.61254895,./image/P15/P15_1659456331290.png,0
0.08042873,0.0095146885,0.06602924,0.12636946,0.059134204,0.0045525543,0.6539712,0.69433373,0.5971677,0.23547104,0.44755504,0.80739534,1.0,0.44360465,0.9134573,0.0,0.8450382,0.82871085,0.6150687,0.42617616,1.0,0.51375973,0.14412037,0.99913186,0.40752387,0.14021316,0.53439873,./image/P15/P15_1659425737595.png,0
0.036693513,0.019458551,0.25628123,0.37547854,0.03079541,0.0044527305,0.27684006,0.7677386,0.7057831,0.29661715,0.37268955,0.5733668,1.0,0.3087881,0.10901221,0.0,0.36265218,0.3004132,0.76813924,0.31492177,1.0,0.33347103,0.02240632,0.9973411,0.5269098,0.11541625,0.5447298,./image/P15/P15_1660293623184.png,1
0.033507332,0.02510124,0.035286665,0.47565296,0.028340101,0.0017352256,0.4003765,0.59269357,0.35761195,0.4075081,0.25368178,0.60483676,1.0,0.43713543,0.78455764,1.0,0.56786233,0.48062646,0.49624613,0.3332536,1.0,0.34542498,0.04477039,0.984781,0.34191605,0.075022094,0.8643671,./image/P15/P15_1660794238464.png,1
